#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
personal	dhuunfaa
pesticide, insecticide	farra ilbiisootaa
pests, insects	ilbiisootaa
pharmacy	faarmaasii, mana dawaa, mana qorichaa
philosophy	falaasama
phone	bilbila
phone card	kaardii moobayilii
photo, photograph	suuraa
phrase	gaalee, anqoo
physician	hogeessafayya, haakimii
picture	fakkeettii, fakkii, suuraa
pig, hog	booyyee
pile	tuullaa, kaabii
pillow	boraatii
pineapple	anaanaasii
pink	diiminee
pit, well	boolla
place	bakka, iddoo
plan	karoora, akeeka
plantation	danfisuu, biqilchuu
plastic	laastikii
plate	shaani
pleasant	gammachiisaa
please	maaloo
pliers	ciniintuu
plough	maarashaa, sibattii
pocket	kiisii
poem, poetry	walaloo
point, sharp	qara
poison	summii, hadhaa, suunkii
police	poolisii
policy	imaammata
politics	siyaasa
pollution	faalama, waarrii
pond, pool	eela, haroo
poor	hiyyeessa, hiyyeettii
population	uummata
post office	mana poosta
postbox	saanduqa poostaa
pot	biir disti, okkotee, giicuu, washoo
potato	dinnichaa, mosee,sayee, ifaatee, shonee, jurgufee
poverty	hiyyummaa, dhaba, deegummaa
power, force	humnaa
prayer	kadhannaa, sagada, kadhata
precious	qushuna
preface	ariirrata
pregnant	ulfa
pregnant (animal)	rimaa
prescription	ajaja
previously	duratti
pride	boona, bajiga, galdaasa
prison, jail	mana hidhaa, wankii
privacy	kophummaa ofii
private (property)	gulummaa
private school	mana barumsa dhunfa
problem	rakkoo, rakkina, ko'oo
process	adeemsa
product	oomisha, bahaatii, atoota
profession	ogummaa, hojii, dalagaa
pronoun	maqadhaal
pronunciation	afaaneffannoo, sagaleessoo
property	qabeenyaa, leecalloo
prostitute	gumna, sagaaggaltuu, dhadhaabamtuu
proverb, saying	mammaaksa
public school	mana barumsa motuma
puppy	cuquu, xuuxxillaa
purple	dhiilgee
purse	koro'oo, boorsaa maallaqaa
quarter	kurmaana
quarter birr	simunii
queen	giiftii
quest	barbaacha, soqaa
question	gaffii, qora
quickly, soon	battaluma, dafee
quiet	callisaa, callistuu
rabbit	illeettii, illeensa
rabies	nyanyee
radio	raadiyoonii, raadiyoo
rain	rooba, bokkaa
rainbow	sabbata Waaqaa
razor	haaduu, shiggiree, qarabaa
ready	qophaa'eraa
ready, prepared	qophaa'aa, qixaa'aa
really	dhugaal
reason	sababa
rebellion	fincila
receipt	naga'ee
recently	dhihootti
receptionist	keessummeessituu
recognize	qalbifachuu, hubachuu
record, roster	galmee
red	diimaa
reflection	balaqqee, calanqeettii
refugee	kooluu-galaa, kooluu-galtuu
relationship	hariiroo
relatives	obbolaa
reliable	abdachiisaa, amanamaa
rent	kiraayii
resident	jiraataa
result, outcome	bu'aa, bahii
retired	soorama kan ba'e, soorama baye jira
reward	badhaasuu
rib	dirra, cinaacha
rice	ruuzii
right (direction)	mirga
ring	qubeelaa, qubee, hogee
ripe	bilchaataa, gormaa
river	laga, malkaa
road, street	karaa, daandii, boochoo
robber	saamtuu, saamaa
rock	kattaa, qarsaa, qassoo, qa'oo
roof	gardaaffoo, diikkaa, soraa, awayaata
room, part, division	kutaa
root	hundee, hidda
rope	funyoo, haada, madhaa
rotten, spoiled	tortoraa, tortortuu, samaa, samtuu
round-about	adabaabaayi, addababa'ii
rude	algala, addaggee, baalbaasee, saragee
rule	danbii
ruler (measuring)	sarartuu, bo'eessaa
rumor	hasaasa, jette-jettee
rural	baadiyyaa
sack	keeshaa, jooniyyaa
sad	gadda
salary	miindaa
salt	ashaboo, soogiida
sample	eddattoo, fakkisa
sand	cirracha, maansa
satisfaction	boohartii, gammachuu, quufa
satisfied	boohare
Saturday	sanbata
saucepan	distii, gochoo, moslolee
saw	minshaara, ilkoo, misumeenoo
scarf	uffarmaa
scent, smell (n)	foolii, urgaa, urgoo
school	mana barnootaa, mana barumsa
science	saayinsii
scissors	maqxuu, maaqasii
sea	galaana, maanya
season	woqtii, tibba, mosina
seat	iddon, teessuma, barcuma
second (n)	sekoondii
secret	iccitii
secretary	barreessituu, bareessaa
seed	sanyii
self	of
September (11th-Oct. 10)	Fulbaana
serious	jabaa, ulfaataa
service	tagaajila
seven	torba
seventy	torbaatama
sex, copulation	salma, kaacha
shade	gaaddisa, gaaddiddu
shame	saalfii, qaanii, yeelloo
shape	boca, naqa
she	isee, ishee, ishii, isiin, isii
she	isheen, iseen, ishiin, isiin
sheep	hoolaa, bidoo
sheet (bed)	ansoolaa, beleshee
shelf	dulaaba, ansaada, girgijii, zalangaa
shelter	da'oo
shiny	calaqqisaa, cululuqaa
ship	doonii
shirt	shamizii, qomee, ubaara, biddiqqoo
shoes	kophee
shop	suuqii, dukkaana
short	gabaabaa, gabaabdu, kuchubbii, murqicha
shorts	surree gababa, kushee, bolee
shoulder	gateettii, qoyiirara, gurmuu, qucee
shovel	akaafaa
shy	ija-laafeessa, ija-laafettii
sick, ill	dhukkubsataa, dhibamaa
sickle	haamtuu, halbee
side	maddii, cinaa, bira, kallattii, gomolee
sifter	gingilchaa
sight	mul'ii
sign	ballaccee, mallattoo
signal, signature	mallattoo
significant	barbaachisaa, hiika qabu
silence	calleensa, callisa, tasgabbii
silk	arrii
silly	sephaa, gowwaa, daafura
similar	wal fakkaataa
sin	cubbuu, nagaroo, xurii
since, from, after	eega, erga
sincerity	dugaadhaan, amanamummaadhaan
singer	weelistuu, weellisaa
single, singular	leexaa, baaqqee
sister	obboleettii
sister-in-law	sayyuu
situation, condition	akkaataa, haala
six	jaha
sixty	jahaatama
size	hammamaa, qixxaayina
skin	googa
skinny	guuffee, godeessa, godeettii, huuqqataa, huuqqattuu
skirt	wandaboo qexxaa, gombisoo, hamfala, qaamisii mudhi gadi
skull	buqqee mataa
sky	samii, waaqa
slave, ocean	garba
sleep	rafiitii, irriba
slender, slim	jorroo, lulee, sorooroo, lawwee
slippery	sigigaataa, sigiggee, mucuca, mucucaataa, mucucaattuu
slow	juulii
slowly	suuta, adada
small bowl	killa
small, little, few	xiqqoo, xinnoo, maddee, merqa, canuu, shiikkoo, bicuu
smile	seeqa
smoke	aara
snack	ciree, sharfaa, qacanii, oolchaa
snake	shaawwisa, bofa
sneezing	haththissoo
so	eega, kanaaf, akkas
soap	saamunaa, andarqii
soccer	kuphaa miillaa
society	waldaa, hawaasa
socks	kaalsii
sofa	soofaa
soft	laafaa
soil	biyyoo, kooticha
solution	furmaata, fala
some, a few	muraasa
sometimes	yeroo tokko tokko
son	ilmo, ilma
song	absaala, faarsaa, faarfannaa, faaruu, sirba
sorrow	addeenya, gadda
soul, spirit	lubbuu, afuura
sound, voice	sagalee
soup	shorbaa, hurgufoo
sour	dhangaggaa'aa, kiikkoo
south	kibba
spacious	arawaca, bakka ballaa
spark	qaanqee, qaanteetii
special, unique	adda
species	sanyii
specifically	addatti, keessattiyuu
speech, talk	haasaa, dubbii
speed	tafii, sardamsuu, ariitii
spelling	qubeessa
spice	quyyifa, kuyyisa, mi'eessituu
spider	sariitii, cincoo, daarabaaftuu, orbobiisa
spine	miqiqqirii
sponge	liifaa, sarphaphuu
spoon	fallaana
sport	ispoortii
spouse	dhiirsa, niitii
spring (season)	birraa
spy	basaasaa, basaastuu
square	addababa'ii
squirrel	osolee
stainer	calaltuu, miirtuu
stamp	sumuda, chaappaa
stapler	qonyeessituu
star	urjii
start	jalqaba, eegala
starvation	beela, xannee
station	buufata
steam	hurka
stepfather	abbaa buddeenaa, abbaaddaa
stepmother	haadha buddeenaa, gayyaa, ayyaaddaa, haadhaddaa
stew	ittoo, waxii
stick	ulee
still	calleensa
stomach	garaacha, macoo
stone	dhagaa
storeroom	kuusaa
storm	obonboleettii, suulaa, bubbee
story	durdurii, sheekoo, seenaa
stove	siliindarii, saamaawaaraa, shaawulaa, girgaatii
straight	qajeelaa, qajeeltuu, qajeeltoo
straw (grass)	citaa
strength	jabina, cimina, anniisaa
string	siibaagoo, fo'aa, tushii
strong	cimaa, jabaa
student	barataa, barattuu
substitute	iddoomaa, iddoomtuu
subtle	abshaala, gamna, haxxee
success	milkaawwii
successful	milkaa'aa, milkooftuu
sudden	tasa
sugar	sukkaara
sugarcane	meejoo, shonkooraa
suggestion	yaada dhidaatu
suit	kittaa, iraraajala
suitable	mijaa'aa, tolaa
sum	ida'ama, edaasa
summary	xumura, guduunfaa, goolabbii
summer	bona
summit (of mountain)	qarree, fiixee, bantii
sun	aduu, biiftuu
Sunday	dilbata
sunrise	bahiisa aduu
sunset	seensa aduu
superstition	tolchituu
surprise	dinqisiifannaa
suspicious	ciicataa, ciicattuu, shakkituu, shakkisiisaa
swamp	dhaqdhaqii, caffee, leephoo, duduba
sweat	dafqa
sweater	shurraaba, golfoo
sweet	mi'aawaa, mi'ooftuu
sweet potato	maxaaxisha, camcamee, soogiddee
swimsuit	uffata daakaa
swollen	dhodhommoqaa, dhiita'aa
synonym	moggoyyaa
system	sirna
table	minjaala
talent	dandeettii, kennaa
tall	dheeraa, lawwee
tapeworm	minnii, koosoo
target	manii
taste (n)	dhandhama, camii, akkaataa, filannaa
tax	qaraxa, ashuuraa
taxi	taaksii
tea	shaayii, shaayee
tea leaves	baala shayyii
teacher	barsiisaa, barsiistuu
teachers	barsiisoota
team	gartuu, gumii, tuuta, garee
teapot	moqorqoraa shaayee
tedious	nuffisiisaa
tee shirt	ti shartii
teenager	yarsuma
teeth	ilkaan
temperate zone	badda daree
temperature (air)	sadarkaa o'aa, haala qilleensaa
temperature (body)	layidaa
ten	kudhan
tent	waaroo, dunkaana
termite	rimma, gadulessa
thank you	galatomi, galatoma
that (pron)	sun, sana
the	-icha, -ittii
the day after tomorrow	iftaan
their, theirs	isaani, saani
them	isaani
there	achi
therefore	kanaaf
therefore, in that case	eegasu
these	kunniin, kanneen
they	isaan
thief	hattuu
thigh	gudeeda, sarbaa, kofa, uduuda
thin	qallaa, qalloo, huuqqataa, huuqqattuu
thing	waanta, meeshaa
things	wantoota
thirsty	dheebuu, dhabsuu
thirty	soddoma
this	kun, kana
this year	barana
those	sunniin, sanneen
though (conj)	ta'u illee, ta'u
thousand	kuma
thread	fo'aa, kirrii
threat	doorsisa
three	sadii
throat	kokkee, qoonqoo
through	keessaan
thumb	abbuudduu
thunder	bakakkaa, mandisuu, kakawee
Thursday	kamisa
tie (necktie)	karabaatii
timber	saanqaa
time	yeroo
"times (e.g., ""5 times"")"	hoggaa, si'a
timid	na'aa, naatuu
tin	qorqorroo
tire	golollee, gommaa
tiring	dadhabsiisaa
tissue paper	sooftii, arrigoo
title (book), headline	mata duree
to abhor	jibbuu, balfuu
to absorb	xuuxuu
to accept, receive, take	fudhachuu
to accompany	faana deemuu
to accomplish	fiixaan baasuu, raaw'achuu
to accuse	yakkuu, himata
to acquire	argachuu, gonfachuu
to adapt	madaqsuu
to add, increase	dabaluu, eda'uu
to adjust	sirreessuu, tottolchuu
to admire	jajuu, dinqisiifachuu
to advise	gorsuu
to affirm	mirkaneessuu
to agree	waliigaluu, wal ta'uu
to aim	qiyyaafachuu, akeekuu
to allow, permit	hayyamuu, eeyyamuu
to alter	geeddaruu, jijjiiruu
to amaze	dinqamuu
to amputate	kutuu, muruu
to amuse	gammachiisuu, kofalchiisuu
to analyze	xiinxaluu, gamaaggamuu
to annoy	aarsuu, dallansiisuu
to apologize	dhiifama gaafachuu
to appreciate	leellisuu, dinqisiifachuu
to argue	falmuu
to arrange	sirreessuu, qopheessuu
to arrive	ga'uu
to assemble	walitti dacha'uu, walga'uu
to assess	tilmaamuu, qorachuu
to assign	ramaduu
to assist	gargaaruu, deggeruu
to attach	maxxansuu, qabsiisuu
to avoid, inhibit	ittisuu, dhorkuu
to bake	tolchuu
to bathe	dhiquu
to be able	danda'uu
to be born	dhalachuu
to be called	jedhamuu
to be glad	gammaduu
to be hungry	beela'uu
to be ill	dhukkubuu
to be located	argamuu
to be next to	aanuu
to be sorry	gadduu, gaabbuu
to be suitable	mijaa'uu
to be thirsty	dheebochuu
to be tired	dadhabuu, bututuu
to be, to become	ta'uu
to beat	dha'uu, reebuu, tumuu, gobuu
to believe	amanuu
to bite	ciniinuu, hidduu
to blame	haalachuu, komachuu
to bleed	dhiiguu
to bless	eebbisuu
to blow, pump	afuufuu
to boil	danfisuu
to borrow (and then return)	ergifachuu
to borrow (consumables)	liqeeffachuu
to bother	rakkisuu
to break	cabsuu
to bring	fiduu
to brush	riguu
to build	ijaaruu
to burn	gubuu, boba'uu, bobeessuu
to buy	bituu
to calculate	herreguu
to call	waamuu, bilbiluu
to cancel	haquu
to carry	baacuu
to cease, stop, halt	dhaabuu
to change	jijjiiruu, geeddarumsa, sharafuu
to chase	ari'uu, kurkursuu
to chat	haasa'uu
to cheat, trick, deceive	gowoomsuu, mujaadaluu
to choose, vote	filuu, fo'uu
to circle, orbit	naanna'uu
to clean	qulqulleessuu, haruu
to close, shut	cufuu
to come	dhufuu
to come back, return	deebi'uu
to connect	walitti qabsiisuu
to conserve, protect	kunuunsuu
to contact, touch	tuquu
to continue	fufuu
to control	abboommachuu, to'achuu
to cook	affeeluu
to correct	sirreessuu
to cough	qufa'uu
to count	lakkaa'uu
to create, invent	uumuu
to cross	cee'uu
to cry	boo'uu, iyyuu
to cut	ciruu, kutuu, muruu
to delete	booxuu, haquu
to deny	ganuu, haaluu
to describe	ibsuu, addeessuu
to desire, wish	fedhuu, hawwuu
to destroy	barbadeessuu, balleessuu
to die	du'uu
to dig	soquu
to disagree	walitti bu'uu
to disappear	baduu
to dislike	jibbuu
to disobey, refuse	diduu
to dispose	gatuu
to divide	hiruu, qooduu
to do 	gochuu, hojjechuu, dalaguu
to dress	uffachuu
to drink	dhuguu
to drive	oofuu
to earn	argachuu
to eat	nyaachuu
to edit	gulaaluu
to elect	filuu
to encourage	jajjabeessuu
to enter	galuu, seenuu
to erase	balleessuu, haquu
to escape	miliquu, baqachuu
to examine	qorachuu
to exit	ba'uu
to explain	ibsuu
to fail, fall	kufuu
to farm, plough	qotuu
to fear	sodaachuu
to fight	waraanuu, loluu
to fill	guutuu
to finish	xumurtuu, fixuu
to fix, repair	suphuu
to fly	barrisuu
to forget, to neglect	irraanfachuu, dagachuu
to forgive	dhiifama gochuu
to frighten	sodaachiisuu
to get in, get on	seenuu
to get off	bu'uu
to give	kennuu, laachuu
to give back, to return (a thing)	deebisuu
to give birth	dhaluu, da'uu
to go	deemuu
to gossip	ususuu, gumgumuu
to govern	bulchuu
to greet	nagaa gaafachuu, dubbisuu
to grieve	gadduu
to grin, to smile	seequu, qummaaduu
to grow	biqiluu, marguu
to grow up	guddachuu
to guard, protect	eeguu
to guess	tilmaamuu, heduu
to harass	doorsiisuu, sossodaachiisuu
to harm, injure	miidhuu, hubuu
to harvest	kassabuu, sassaabuu
to hate	falquu, jibbuu
to have	qabuu, qabaachuu
to heal	fayyuu
to hear	dhaga'uu
to help	gargaaruu, deggeruu, faduu
to hide	dhoksuu
to hire	mindeessuu, obarayeessuu
to hit	dha'uu, rukutuu, gobuu, reebuu
to hold	qabuu
to hug	hammachuu, itti dhiyaachuu
to hunt	adamsuu
to hurry	ariifachuu, jarjaruu, si'achuu
to imagine	yaaduu
to immigrate	godaanuu
to immunize	talaaluu
to impale	uruu
to impede	gufachiisuu, ittisuu
to imply, suggest	yaada dhiheessuu
to improve, modify	fooyyessuu
to include	dabaluu, of keessatti qabachuu
to infect	dhukkuba qabsiisuu
to influence	dhiibbaa uumuu
to ingest	liqimsuu
to inherit	dhaaluu
to inquire, ask	gaafachuu
to inspect	sakatta'uu, qorachuu, to'achuu
to inspire, motivate	kakaasuu
to insult	arrabsuu
to intend	karoorfachuu, yaaduu
to interrupt	addaan kutuu
to intimidate	sossodaachiisuu, quuxessuu
to introduce (people to each other)	wal barsiisuu
to invite	affeeruu
to joke	qoosuu, baacuu
to jump	xarrisuu, utaaluu
to kick	dhiituu, qeera'uu
to kill	ajjeesuu
to kiss	dhungachuu
to knock (on a door)	balbala rukutuu
to know	beekuu, baruu, amanfachuu
to laugh	kolfuu
to launder, wash clothes	miiccuu
to lay (something down)	ciibsuu
to lead	geggeessuu, hoogganuu
to leak	dhimmisuu
to learn	barachuu, baruu
to leave	baatuu, gadhiisuu
to leave, quit	dhiisuu
to lessen	xinneessuu, xinnaachuu
to lick	arraabuu
to lie, fib	kijibuu, sobuu
to like, love	jaalachuu
to limp	okkoluu
to listen	dhaggeeffachuu, caqasuu
to live	jiraachuu
to loan, lend	liqeessuu, ergisuu
to lock	qollofuu
to look	ilaaluu, arguu
to lower, bring down	buusuu
to make	gochuu, tolchuu
to manufactor, produce	oomishuu
to marry	fuudhuu, heerumuu
to measure, weigh	madaaluu, safaruu, lakkaa'uu
to meet, encounter	quunamuu
to memorize	yaadachuu
to milk	elmuu
to mimic	akkeessuu
to mix	waliin makuu, walitti dabaluu
to moan	aaduu, gadooduu
to mourn	gufufuu
to move	wawarraaquu, socho'uu
to multiply	baay'isuu
to need	barbaaduu, badaduu
to nominate	eeruu
to notice, notify	beeksisuu
to obey	abboomamuu
to offend	mufachiisuu, aarsuu, dallansiisuu
to open	banuu, saaquu
to oppress	cinqursuu, gad-qabuu
to optimize	fooyyessu
to organize	gurmeessuu, qixeessuu, gamteessuu
to paint	dibuu
to pass	darbuu, taruu
to pay	kaffaluu
to peel	quncisuu
to pierce	waraanuu, uruu
to pile	tuuluu
to plan	karoorsuu, karoorfachuu
to plant, erect, establish	dhaabuu
to play	taphachuu, xabachuu
to pollute	faaluu, areeruu
to pour	dhangala'uu, dhangalaasuu
to practice	shaakaluu
to preach	lallabuu
to predict	raajuu, raaguu
to prepare	qopheessuu
to pretend	fakkeessuu
to print	maxxansuu
to pull	harkisuu
to punish	adabuu
to push	dhiibuu
to put, place, store	kaa'uu
to rain	roobuu
to read	dubbisuu
to reduce	xiqqeessuu, hir'isuu
to regret	gaabbuu, sheena'uu
to remain	hafuu
to remember	yaadachuu, qaabachuu
to remind	yaadachiisuu
to rent	kireessuu
to ride	gulufsiisuu
to roast	waaduu, affeeluu, kalaankaluu
to rob	saamuu
to rot	raamma'uu, tortoruu
to run	fiiguu, arreeduu, kaachuu
to satisfy	booharsuu, quubsuu
to saw	seeruu
to say	jedhuu
to scream	iyyuu, wacuu
to see	ilaaluu, arginuu
to seem	fakkaachuu
to sell	gurguruu
to send	erguu
to serve	tajaajiluu
to sew	hodhuu, xibiiruu
to sharpen	qaruu
to shave	haaduu, aaduu, aaddachuu
to show, indicate	agarsiisuu
to sift	gingilchuu, soruu
to signify, mean	agarsiisuu, mul'isuu
to sing	weeddisuu, weellisuu, alalaasuu
to sit	taa'uu
to slaughter	gorra'uu, qaluu
to sleep	rafuu, ciisuu
to slip	mucucaachuu
to smash	hurreessuu, unkuteessuu
to smell	suufuu, fuunfachuu, urgeeffachuu, suurachuu
to soak	dhuubuu, laaffisuu
to sow seed, scatter	facaasuu
to spend the day	ooluu
to spend the night	buluu
to spit	tufuu
to sqeeze	cimmiiguu, cuunfuu
to start	jalqabuu, eegaluu
to startle	birrachuu, wareeruu, dammaqsuu
to stay	turuu
to steal	hatuu
to sting	hidduu
to stir	bulbuluu, irbuu, mooquu, sochoosu
to study	qu'achuu
to succeed	milkaa'uu
to supply	dhiheessuu
to support	deggeruu, utubuu, kibuu, gargaaruu
to surprise	dinqisiisuu
to surround	marsuu
to suspect	shakkuu
to swallow	liqimsu
to sweat	dafquu
to sweep	haxaa'uu, haruu
to sweeten	mi'eessuu
to swim	daakuu
to take (someone somewhere)	geessuu
to take care	eeggachuu
to talk, speak	dubbachuu, haasa'uu, baanuu, qaaquu
to teach	barsiisuu, leenjisuu
to tear	tarsaasuu, baqasuu
to tell	himuu
to think	yaaduu, abbaaluu
to threaten	doorsisuu, sodaachisuu, quuxessuu
to throw	darbachuu, ha'uu
to till	shukunuu, jaala soquu
to trade	daldaluu
to translate	hiikuu
to try	yaaluu, badaduu
to turn (in direction)	goruu
to turn (something)	garagaluu
to turn over, peddle	garagalchuu
to understand	hubachuu
to untie	hiikuu
to update	ammayyoomsuu
to use	fayyadamuu
to visit	daaw'achuu
to vomit	hooqqisiisuu, balaqqamsiisuu, balaqqamuu
to wait	afachuu, eeguu, turuu
to wake (someone) up	dammaqsuu
to wake up, be startled	dammaquu
to wake up, get up	ka'uu
to walk	adeemuu, tarkaanfachuu
to want	barbaaduu, fedhuu, badaduu
to warn	akeekkachiisuu, beekkachiisuu, seerachiisuu, weellefachuu
to wash	dhiqqachuu, miiccuu, sharaquu
to waste	baraaxuu, afoollessuu
to water (plants)	bishaan obaasuu
to wear	uffachuu, keewwachuu
to weed	aramuu
to wet	jiisuu
to whistle	fooricuu, siissuu, fooqqisuu, shawwisuu
to win	injifachuu, mo'uu
to winnow	calleessuu
to wip	dhaanuu
to work	hojjechuu
to worry	dhiphachuu, yaadda'uu
to write	barreessuu, katabuu
to yawm	hamuummachuu
today	har'a
toe	quba miillaa
together	walitti, wajjin, walii-wajjin
toilet	boolii, golbobbaa
toilet room	manni fincaani
tomato	timaatimii, ajaagaarii
tomorrow	boru, bor
tongue	arraba
tonight	edana, har'a galgala
tooth	ilka, ilkaan
toothpaste	saamunaa ilkaanii
toothpick	rigaa
total	dimshaasha, waliigala
tourist	daaw'ataa, daaw'attuu, imalaa, imaltuu
toward	gara, kallattii
towel	fooxaa, waccuu
toxic	summaa'aa
train	baabura geejjibaa
traitor	gantuu, haalaa, haaltuu
translation	hiikkaa
transportation	geejjiba
treatment	wal'aansa
tree, wood	muka
trial, try out	yaalii
triangle	rogsadee, sadakkuu
tribe	gosa
truck	makiina fe'issa
true, real	dhugaa
trust	amaanaa
Tuesday	kibxata, facaasaa, balloo
turn, order	dabaree
twenty	digdama
twin	lakkuu
two	lama
type, kind	gosa, akaakuu, sanyii
ugly, untidy	fokkisaa, fokkistuu
umbrella	dibaaba, daatuu, gaaddisee
uncle (maternal)	eessuma, hubuyu, abbo guddoo
uncle (paternal))	wasiila, abuyyaa
under	jala
underpants	pantii, butaantii
underskirt, slip	minxii liibsii
underwear	jalaanii
uniform (clothes)	fooyituu, walagoo
university	yunivarsiitii
unless…	yoo…malee
unripe	xobbee
untidy	boosacha, booseettii, samaa, samtuu
until	hamma, hanga
until the end	hamma dhuma
up	irra, gara olii, hanga, gararraa
upwards	ol
urine	fincaan
us	nu
use (n)	faayidaa, dantaa, bu'aa
useful	faayidaa qabeessa
useless	badduu, goofoo, faayidaa-maleessa
usually, frequently, often	yerroo baa'ee
vaccination	talaallii
value	sona, safuu, gatii
valueless, vain	bilaasha
vegetables	kuduraa
vegetation	biqiltuulee
vehicle	makiinaa, koonkoolata
ventilation	qilleensa afarsuu
verb	gochima, gocha
very	baayee, baay'ee
vest	jalaanii, sadarya
victory	injifannoo, mo'icha
view, vision	mul'ata, daayyaa
village	ganda, araddaa, amba
violence	jeequmsa, kolboo, goolii
visitor	daaw'ataa, daaw'attuu
volume	qabiyyee
vomit	diddiga, haqqee, bulgaatii, balaqqama
waist	mudhii
waiter	keessummeessisa, keessummeessitu
wall	goorroo, dadaa, gidaaraa
war	waraana, lola
wardrobe	kabata, wancarii, ansaada
warehouse	mankuusa
wasteful	afoollessaa, afoollessituu, baraaxxuu, firfirstuu
